"subject_id" "activity_nm" "tBodyAcc.mean...X" "tBodyAcc.mean...Y" "tBodyAcc.mean...Z" "tGravityAcc.mean...X" "tGravityAcc.mean...Y" "tGravityAcc.mean...Z" "tBodyAccJerk.mean...X" "tBodyAccJerk.mean...Y" "tBodyAccJerk.mean...Z" "tBodyGyro.mean...X" "tBodyGyro.mean...Y" "tBodyGyro.mean...Z" "tBodyGyroJerk.mean...X" "tBodyGyroJerk.mean...Y" "tBodyGyroJerk.mean...Z" "tBodyAccMag.mean.." "tGravityAccMag.mean.." "tBodyAccJerkMag.mean.." "tBodyGyroMag.mean.." "tBodyGyroJerkMag.mean.." "fBodyAcc.mean...X" "fBodyAcc.mean...Y" "fBodyAcc.mean...Z" "fBodyAccJerk.mean...X" "fBodyAccJerk.mean...Y" "fBodyAccJerk.mean...Z" "fBodyGyro.mean...X" "fBodyGyro.mean...Y" "fBodyGyro.mean...Z" "fBodyAccMag.mean.." "fBodyBodyAccJerkMag.mean.." "fBodyBodyGyroMag.mean.." "fBodyBodyGyroJerkMag.mean.." "tBodyAcc.std...X" "tBodyAcc.std...Y" "tBodyAcc.std...Z" "tGravityAcc.std...X" "tGravityAcc.std...Y" "tGravityAcc.std...Z" "tBodyAccJerk.std...X" "tBodyAccJerk.std...Y" "tBodyAccJerk.std...Z" "tBodyGyro.std...X" "tBodyGyro.std...Y" "tBodyGyro.std...Z" "tBodyGyroJerk.std...X" "tBodyGyroJerk.std...Y" "tBodyGyroJerk.std...Z" "tBodyAccMag.std.." "tGravityAccMag.std.." "tBodyAccJerkMag.std.." "tBodyGyroMag.std.." "tBodyGyroJerkMag.std.." "fBodyAcc.std...X" "fBodyAcc.std...Y" "fBodyAcc.std...Z" "fBodyAccJerk.std...X" "fBodyAccJerk.std...Y" "fBodyAccJerk.std...Z" "fBodyGyro.std...X" "fBodyGyro.std...Y" "fBodyGyro.std...Z" "fBodyAccMag.std.." "fBodyBodyAccJerkMag.std.." "fBodyBodyGyroMag.std.." "fBodyBodyGyroJerkMag.std.."
2 "WALKING_DOWNSTAIRS" 13.047921359 -1.0650865443 -5.490208292 40.50607324 -15.31166473 -2.0627837648 5.17190893177 -0.1541407683 -0.9839528855 -5.449525585 -0.226694739 4.5671690186 -2.730880943 -1.9809102104 -3.3380801394 4.2277026634 4.2277026634 0.2657926775 -7.62286358573 -19.31101556 5.3035345353 13.082216963 -6.170666284 6.4916720111 4.5218305558 -12.760439892 -6.8514706091 -17.009949728 -4.1122402596 13.7909668498 10.4456282501 -15.079411547 -17.868239405 2.1792340279 12.3554440807 -4.833381679 -44.1970027 -44.1832207 -43.77760072 6.9207097322 5.9609166842 -15.98573509 -15.0770938104 -19.53973981 -13.132664238 -11.46520785 -22.061644952 -10.2585169745 10.1325577398 10.1325577398 10.792007701 -12.917673195 -16.129830144 0.7569171334 8.082776729 -7.6155460315 2.3480759367 3.799167409 -19.18668889 -17.833523695 -21.56043913 -19.88042026 -1.0095030441 10.6915944295 -17.511107502 -16.153852315
2 "WALKING_UPSTAIRS" 11.863909939 -1.02778143382 -7.320667177 37.95443609 -19.97831474 -9.4026354668 3.57363762995 -0.46607304688 0.935109084 -2.769180646 -1.5402388675 3.304195304 -3.9785184064 -2.0354578006 -2.1367559118 -5.151488617 -5.151488617 -15.42090773 -10.546246702 -27.49518905 -12.802604797 0.47637402329 -13.4880953377 -12.414693107 -9.0164223222 -25.09094704 -15.918891718 -23.42813395 -11.932853856 -6.9752898795 -9.0965345713 -21.62938487 -28.83832782 -14.61006751 5.1853094347 -5.3818090186 -44.85157151 -44.34083778 -42.14419473 -13.253850551 -8.9111498026 -27.53982492 -21.08414683 -22.38232016 -7.8717980006 -22.31300943 -30.98358421 -22.44460613 -9.8868981742 -9.8868981742 -10.4346909399 -18.121544045 -28.67000252 -15.38795589 4.0742533972 -4.5381588687 -17.53994119 -11.69059904 -30.00436711 -22.86522459 -22.06840747 -10.467478631 -17.6029557 -12.5003442702 -21.05377929 -29.84736974
3 "LAYING" 17.08204487 -1.1752520673 -6.2806296054 -14.98902564 51.89599018 30.29959748 4.77282898 0.8558542701 -0.2700880421005 -1.29065735005 -4.4547443885 8.555972789 -6.202758928 -2.416584945 -4.26149994 -60.31306346 -60.31306346 -60.72804479 -58.99701459 -61.17624476 -60.80126776 -59.59253894 -60.03659278 -60.79181854 -60.06263105 -60.70558535 -60.1503703 -60.6421803 -59.66520157 -59.86250506 -60.50887507 -59.80437694 -61.02525158 -60.93215163 -59.64756776 -59.74884416 -60.91575597 -60.83457048 -59.81806772 -60.81451752 -60.06006493 -60.8897761 -60.42183663 -60.59090453 -59.73734776 -60.78037599 -61.17929 -60.96697333 -59.78152694 -59.78152694 -60.51952047 -59.16505688 -60.95463385 -60.98885 -59.77386546 -59.72330297 -60.95360219 -60.20472879 -60.99013809 -60.51115889 -60.57601472 -59.96992496 -60.03771348 -60.46893343 -59.23739506 -60.9192258
3 "SITTING" 13.374275155 -0.1821559177 -5.114611857 46.8571472 6.61977572079 7.229070288 3.775711777 0.1417151498 -0.22014115425 -2.003899065 -3.912532143 4.88859267276 -5.387506231 -1.8767313854 -3.06841582677 -46.55993421 -46.55993421 -50.39219915 -47.80642736 -50.8558987 -50.44803093 -46.37920307 -47.73537212 -50.6974189 -49.61684787 -50.48397481 -49.79263316 -49.7210246 -48.61833386 -47.01765773 -50.22622237 -49.22657707 -50.85070149 -50.49252629 -44.54412623 -45.50572912 -49.78087181 -47.00399643 -46.68228855 -50.6723043 -49.58883233 -50.68240143 -50.20260796 -49.13243771 -48.17351294 -50.57243911 -50.88906725 -50.63508687 -45.2556884 -45.2556884 -50.26060438 -48.126941398 -50.79217915 -50.52350568 -44.18209419 -44.94476813 -50.76674381 -49.73601135 -50.81229777 -50.33667927 -48.8597194 -48.39292384 -45.48058279 -50.26158035 -48.123380708 -50.78786974
3 "STANDING" 17.08283731 -0.8745969859 -6.198925080622 57.03687749 -18.40584295 1.5105495119 4.58049379589 0.4707148232 -0.49237853981 -1.5044190317 -3.5691217014 4.05809853 -6.067075986 -2.881736496 -2.5426761558 -56.45127996 -56.45127996 -58.51753426 -54.41745031 -58.70269972 -58.56752798 -55.39259658 -57.30997185 -58.41767826 -57.55337639 -59.11966911 -54.97821832 -57.20038059 -55.8865248 -56.54510487 -57.86627553 -55.73462412 -58.58023479 -58.97129512 -54.50040774 -55.59655992 -59.90324611 -58.40294463 -56.61785622 -58.38227585 -57.44289393 -59.35663773 -54.92819588 -56.59510571 -55.65420897 -57.39719619 -59.07445862 -58.45587372 -55.82374152 -55.82374152 -57.87497264 -53.80963851 -58.41846578 -59.16580853 -54.43849526 -55.19287653 -58.59482623 -57.58086138 -59.51135292 -55.02112602 -56.31068241 -56.10437461 -56.23200067 -57.84061568 -53.8898228 -58.38441214
3 "WALKING" 15.9829128 -0.99625349638 -6.53514187 54.31739111 -15.19520876 -8.010256243 4.72552611943 0.583430613 -0.326113465 -1.4871501166 -4.519075437 4.7182184684 -5.5239093571 -2.24967298 -2.92097338473 -14.77203933 -14.77203933 -16.24054041 -27.05188174 -32.83584264 -18.363612678 -4.715541249 -23.91769632 -17.672277668 -8.149498233 -29.81996081 -25.3950543 -32.56852339 -24.25132061 -16.82182904 -10.832341984 -33.04583479 -35.24959547 -20.90069011 -4.0550157822 -22.46989567 -56.7107523 -55.81662709 -55.22132411 -15.583419345 -2.6077936467 -30.71019475 -33.16843449 -32.70000909 -27.64839187 -22.38353319 -37.06710308 -31.12651666 -19.04887832 -19.04887832 -8.1151486089 -32.56761963 -32.90755053 -21.99805331 -7.1937882561 -24.53391149 -17.20260472 -0.32566927811 -31.52468827 -35.67703945 -32.99554306 -31.66199051 -26.46963869 -5.21141544346 -36.69331099 -31.84704646
3 "WALKING_DOWNSTAIRS" 14.32875075 -0.94841498871 -5.6908523025 46.0138316 -11.2126315 -5.015285144 3.555877543 0.537568069 -0.0993367092899999 -6.4470905461 -0.6828544154 6.0675101793 -3.8156380864 -1.9186828617 -2.0393463425 -3.07781797959 -3.07781797959 -10.056723086 -10.549430561 -24.91981128 -2.0663640219 -0.3773236671 -19.8181683 -4.442864913 -6.660988589 -25.92391308 -6.3242621405 -26.59201404 -14.8404565978 1.4181246585 -2.4244208888 -16.2864548392 -28.23758277 -2.813092328 -1.6243682446 -17.749772029 -46.55299535 -46.35863725 -44.09725344 -4.204249207 -5.460520554 -28.01502691 -12.8210172867 -26.79027901 -21.67308061 -13.998474955 -33.36641957 -18.355665203 -2.0155663845 -2.0155663845 -4.5389900232 -12.043940268 -28.61204134 -3.206644244 -5.3763953618 -19.096428669 -8.1067020356 -7.238683763037 -30.06272864 -15.1228862215 -27.10163247 -26.86005135 -11.4586216839 -7.7960121129 -15.799600524 -30.62063021
3 "WALKING_UPSTAIRS" 15.388372511 -1.91224552228 -6.4938269428 52.12847273 -22.58821807 -9.61369336 2.5185978185 2.34377069586 1.2284126748 4.259683825 -8.2172489326 1.2720618123 -6.8151236 -2.3621978119 -2.9392671584 -10.856878805 -10.856878805 -25.77716841 -20.491986921 -38.87282268 -23.128248477 -4.6497555242 -29.76517718 -28.22762407 -16.74258030079 -39.96155751 -22.314784224 -37.60031699 -25.45869833 -18.63609869 -24.36233301 -30.33848344 -42.29578894 -18.47428282 0.6860567989 -21.81552164 -55.69840834 -53.67973128 -53.65871083 -27.0435124 -14.8491415079 -41.804551 -26.906316489 -34.38182791 -29.047311 -29.92897472 -45.77067446 -33.83260291 -19.68224852 -19.68224852 -25.90221491 -24.124312538 -42.36365438 -16.834648419 -0.4743526425 -20.69703635 -28.70034407 -15.823299895 -43.58364597 -28.60443849 -32.80671088 -33.10476133 -26.43166778 -28.35594293 -26.2657263434 -43.66197274
4 "LAYING" 14.232197609 -0.8101719417 -5.977160117 -22.71589176 49.41891563 18.44269077 5.046268776 0.374389135543 -0.34616933752 -0.4985044275 -5.0226921761 9.164901821 -5.671073395 -2.058644334 -3.845643957 -51.54611057 -51.54611057 -52.38517167 -50.23276898 -53.19369911 -51.77531219 -50.69970222 -52.24523106 -52.8412927 -50.97437931 -52.67069979 -52.22900177 -52.49814331 -51.91988018 -50.72704387 -51.96350477 -51.92405965 -53.11488996 -51.5264619 -50.85255829 -51.984035 -49.74479816 -52.37009833 -52.71353688 -52.82835018 -50.87931237 -52.83964715 -52.5475308 -51.89990176 -51.95198277 -52.65557303 -53.29020401 -53.13412943 -50.289779697 -50.289779697 -51.88246726 -51.13971621 -53.06570354 -51.4331036 -51.10457244 -51.95634053 -52.9242818 -50.99581161 -52.93410676 -52.65511593 -51.63385501 -52.1536032 -50.608150702 -51.73400444 -51.14341756 -53.05735611
4 "SITTING" 13.576913996 -0.3581532579 -5.293729794 43.46515032 10.5811269968447 5.506024054 3.922501195 -0.54291085547 -0.60749975798 -2.472175578 -4.471503054 5.057516739 -4.847474212 -2.0924194998 -2.44982175836 -46.784741 -46.784741 -48.50661418 -46.30316569 -49.02452309 -48.87312492 -45.28914659 -47.58918716 -48.84228563 -47.21491954 -48.75774528 -48.02948179 -48.37918239 -46.68884461 -46.45010475 -48.12503669 -47.43848762 -48.82738817 -49.01549655 -44.511199054 -46.61015033 -49.07026474 -46.636355193 -47.54746273 -48.83710981 -47.22980528 -48.95193829 -48.50658952 -47.92340602 -46.39861147 -48.49498656 -49.2220679 -48.44024158 -45.72039224 -45.72039224 -48.12745552 -46.44491465 -48.79033451 -49.09540946 -44.47336747 -46.34996584 -48.93884561 -47.4646579 -49.08497241 -48.66665535 -47.70602095 -46.64341772 -45.99078548 -48.07922597 -46.44252772 -48.81308769
4 "STANDING" 15.70798577 -0.53139021519 -5.384819471 53.54707631 -4.250450742 9.346054253 4.0394389272 -0.365688788513 -1.18658338718 -1.7161163172 -3.462191635 4.231564013 -5.771242072 -2.5830403276 -2.74821958806 -50.7627709 -50.7627709 -53.94876135 -50.45499763 -54.18638814 -54.51586278 -49.81475548 -52.17203159 -54.44941008 -52.50695756 -54.24431105 -50.70599307 -53.53560493 -51.2557335 -51.38638483 -53.54379988 -51.19571328 -54.01038381 -54.70755248 -48.24945321 -50.22531015 -54.48286793 -51.38635403 -50.366667415 -54.46484635 -52.54786196 -54.49103526 -50.94252657 -53.15672023 -50.95972216 -53.1794972 -54.65964978 -53.64699309 -49.89469427 -49.89469427 -53.656931 -49.56808179 -53.99983592 -54.80930771 -48.013295781 -49.70304179 -54.63957652 -52.8682173 -54.66885231 -51.09802846 -52.96624705 -51.33249135 -50.13904236 -53.76181993 -49.68288664 -54.12009218
4 "WALKING" 16.71492091 -0.89039685205 -6.684183891 57.83998181 -5.151241594 7.66584676 4.7011744931 0.1773614572 -0.0460607603000001 -1.90789534677 -4.3614316715 4.8340629673 -6.9192933885 -2.3608469348 -3.3070011166 -18.72303445 -18.72303445 -22.00205279 -29.8675320636 -40.87824219 -25.60316698 -8.9639780064 -37.86032825 -21.53300482 -16.773203492 -43.73949574 -22.40307244 -41.3076034 -36.08286775 -27.0482735 -19.11526866 -36.557135281 -43.45964524 -26.44979828 -4.7296042061 -35.17516841 -59.02958969 -58.07779326 -57.77808672 -17.822556752 -13.2699078949 -45.08348295 -30.05499954 -39.92364557 -39.75649356 -29.54046401 -48.44519622 -38.42724797 -31.66074619 -31.66074619 -19.01513736 -33.18696667 -43.80878211 -26.83409578 -6.10796703391 -35.65189954 -17.839564347 -12.594000378 -46.34154524 -32.55880554 -39.27946621 -42.98750851 -39.07035769 -19.22752206 -35.63623205 -45.46608487
4 "WALKING_DOWNSTAIRS" 12.59843983 -0.4410903828 -4.804988607 42.64793364 -2.7938374783 6.6921664 4.3733823699 0.2537010968 -0.3281119949 -4.627747014 -3.1681167855 2.6668777266 -4.145772306 -1.5679571105 -2.2177639606 -2.2122752703 -2.2122752703 -10.29831361863 -15.597283176 -26.67793567 -3.250765246 -5.832298776 -22.26075532 -7.2734808483 -7.7823732931 -26.27628171 -10.8134502046 -32.28956282 -14.323791646 -0.8583450858 -7.8882878951 -19.31460163 -27.97886051 0.503709733 -9.83692462455 -21.56336897 -42.98664966 -41.94297185 -42.19892075 -6.55918689081 -6.5809032686 -28.19911441 -16.661011288 -31.47540917 -22.43163602 -17.81979725 -36.75862081 -14.660103317 -3.688015685 -3.688015685 -9.758651489 -17.125768143 -28.66857946 1.7554421814 -14.5139092974 -23.07124364 -9.3712528043 -7.9740942443 -30.09903005 -18.671355043 -31.11832653 -27.97463121 -11.863981363 -12.619204963 -20.59533396 -30.84619193
4 "WALKING_UPSTAIRS" 14.08558823 -1.662982337794 -5.939411687 49.20574435 -12.11310384 4.376711991 2.9170539301 1.2168987644 0.1769460351 2.0478910345 -4.4692527547 4.3875199856 -6.8365477076 -2.0306459101 -3.7569805562 -7.9926046386 -7.9926046386 -20.84795725 -15.58852921 -35.72287547 -15.313390059 -6.0896763976 -27.28209758 -21.75184166 -15.48586973666 -35.88556058 -19.29558761 -35.58413048 -18.23981833 -14.394925908 -20.66512682 -29.94129175 -38.51895977 -10.656518231 -3.46787534694 -19.35116444 -49.84175225 -48.01555299 -47.82021157 -19.78537742 -14.640245117 -37.77775622 -23.63041425 -28.6616496 -18.76217449 -27.7506738 -43.71758314 -28.92430241 -11.024639625 -11.024639625 -22.73759685 -26.57065499 -39.2740638 -9.00729538875 -5.2745911941 -17.94571052 -20.63165441 -16.355301601 -39.6641531 -25.14453206 -25.47086252 -22.07574264 -15.65230672 -25.86085254 -28.7294607 -41.29889312
